Date;Open;High;Low;Last Close;Chg.%;Total Value;Total Volume
12/30/2009;26.364;26.384;25.916;25.926;-1.73%;31,268,570;1,198,491
01.04.2010;26.354;26.821;25.866;26.821;+3.45%;49,244,576;1,871,178
01.05.2010;26.861;27.657;26.662;27.657;+3.12%;88,441,724;3,251,393
01.07.2010;27.518;27.856;26.752;26.971;-2.48%;56,117,716;2,047,086
01.08.2010;27.299;28.105;27.189;27.289;+1.18%;67,340,461;2,431,993
01.11.2010;27.965;28.751;27.946;28.751;+5.36%;54,136,182;1,902,611
01.12.2010;28.761;28.901;28.204;28.562;-0.66%;72,374,457;2,531,967
01/13/2010;28.503;29.348;28.155;29.348;+2.75%;89,736,736;3,104,528
01/14/2010;29.657;30.990;29.527;30.940;+5.42%;170,644,121;5,633,888
01/15/2010;30.841;30.890;29.746;30.841;-0.32%;102,506,947;3,367,114
01/18/2010;30.741;30.890;30.293;30.880;+0.13%;40,165,733;1,308,945
01/19/2010;30.731;30.831;29.985;30.592;-0.93%;57,102,051;1,876,931
01/20/2010;30.393;30.721;29.299;29.647;-3.09%;52,643,484;1,746,875
01/21/2010;29.905;30.124;28.652;28.652;-3.36%;73,088,152;2,482,820
01/22/2010;28.453;28.901;27.886;28.304;-1.22%;69,860,283;2,467,144
01/25/2010;28.065;29.428;27.757;27.956;-1.23%;57,272,307;1,997,467
01/26/2010;27.707;28.940;27.379;28.503;+1.96%;94,615,198;3,354,095
01/27/2010;28.682;28.682;27.926;28.085;-1.47%;65,083,153;2,298,991
01/28/2010;28.672;28.990;26.762;26.762;-4.71%;71,506,513;2,569,307
01/29/2010;27.538;28.045;27.150;27.438;+2.53%;75,670,513;2,744,375
02.01.2010;27.657;28.344;27.418;28.254;+2.97%;41,751,754;1,492,057
02.02.2010;28.403;28.403;27.846;28.264;+0.04%;58,686,279;2,088,203
02.03.2010;28.433;28.433;27.558;27.757;-1.80%;55,446,472;1,984,221
02.04.2010;27.816;27.985;25.807;26.215;-5.56%;112,255,722;4,167,053
